Column 2,Column 3,Column 4,Column 6
2020-10-01,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,10724
2020-10-01,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,11317
2020-10-31,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,11889
2020-10-31,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,12411
2020-11-09,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,11194
2020-11-09,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,13075
2020-11-12,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,14535
2020-11-04,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,15144
2020-11-29,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,15547
2020-11-29,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,15808
2020-11-29,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,16340
2020-11-29,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,18034
2020-11-30,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,20372
2020-11-30,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,22685
2020-11-30,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,24805
2020-12-01,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,22026
2020-12-17,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,23450
2020-12-17,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,23984
2020-12-17,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,24656
2020-12-17,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,25240
2020-12-17,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,25767
2020-12-17,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,26429
2020-11-25,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,29345
2020-11-19,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,29259
2020-11-19,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,29207
2020-11-21,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,52009
2020-11-21,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,52321
2020-12-20,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,58275
2020-12-20,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,61590
2020-12-20,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,64386
2020-11-22,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,80675
2020-11-22,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,81340
2020-11-22,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,81879
2020-12-20,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,82483
2020-12-20,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,83159
2020-12-20,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,78314
2020-11-27,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,81106
2020-11-23,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,81177
2020-11-23,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,81565
2020-12-22,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,82265
2020-12-22,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,83489
2020-12-22,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,85564
2020-12-21,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,88660
2020-12-21,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,92595
2020-12-20,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,96842
2020-11-25,Feliz Día de Navidad,http://twitter.com/search?q=%22Feliz+D%C3%ADa+de+Navidad%22,38937
2020-12-17,Feliz Día de Navidad,http://twitter.com/search?q=%22Feliz+D%C3%ADa+de+Navidad%22,39375
2020-12-17,Feliz Día de Navidad,http://twitter.com/search?q=%22Feliz+D%C3%ADa+de+Navidad%22,39069
2020-12-17,Feliz Día de Navidad,http://twitter.com/search?q=%22Feliz+D%C3%ADa+de+Navidad%22,38805
2020-12-17,Feliz Día de Navidad,http://twitter.com/search?q=%22Feliz+D%C3%ADa+de+Navidad%22,38208
